Event, Time (sec), Component, Event Property,Value
112,657.567902, , id=0x0001, 0x00000001 0x00000002
113,658.11919, , id=0x0001, 0x00000001 0x00000007
114,658.61193, , id=0x0001, 0x00000001 0x00000002
115,659.10467, , id=0x0001, 0x00000001 0x00000002
116,659.59741, , id=0x0001, 0x00000001 0x00000007
117,660.09015, , id=0x0001, 0x00000001 0x00000007
118,660.58289, , id=0x0001, 0x00000001 0x00000002
119,661.075666, , id=0x0001, 0x00000001 0x00000007
120,661.568362, , id=0x0001, 0x00000001 0x00000007
121,662.11965, , id=0x0001, 0x00000001 0x00000007
122,662.61239, , id=0x0001, 0x00000001 0x00000007
123,663.10513, , id=0x0001, 0x00000001 0x00000007
124,663.59787, , id=0x0001, 0x00000001 0x00000007
125,664.08761, , id=0x0001, 0x00000001 0x00000007
126,664.577876, , id=0x0001, 0x00000001 0x00000002
127,665.067582, , id=0x0001, 0x00000001 0x00000007
128,665.616386, , id=0x0001, 0x00000001 0x00000007
129,666.10661, , id=0x0001, 0x00000001 0x00000007
130,666.59635, , id=0x0001, 0x00000001 0x00000007
131,667.08659, , id=0x0001, 0x00000001 0x00000002
132,667.576358, , id=0x0001, 0x00000001 0x00000002
133,668.066062, , id=0x0001, 0x00000001 0x00000007
134,668.61435, , id=0x0001, 0x00000001 0x00000007
135,669.10409, , id=0x0001, 0x00000001 0x00000007
136,669.59383, , id=0x0001, 0x00000001 0x00000007
137,670.08357, , id=0x0001, 0x00000001 0x00000007
138,670.573308, , id=0x0001, 0x00000001 0x00000002
139,671.12159, , id=0x0001, 0x00000001 0x00000007
140,671.61133, , id=0x0001, 0x00000001 0x00000007
141,672.10107, , id=0x0001, 0x00000001 0x00000007
142,672.59081, , id=0x0001, 0x00000001 0x00000007
143,673.08055, , id=0x0001, 0x00000001 0x00000007
144,673.570202, , id=0x0001, 0x00000001 0x00000007
145,674.11857, , id=0x0001, 0x00000001 0x00000007
146,674.60831, , id=0x0001, 0x00000001 0x00000007
147,675.09805, , id=0x0001, 0x00000001 0x00000007
148,675.58779, , id=0x0001, 0x00000001 0x00000007
149,676.077548, , id=0x0001, 0x00000001 0x00000007
150,676.566762, , id=0x0001, 0x00000001 0x0000000C
151,677.11505, , id=0x0001, 0x00000001 0x00000007
152,677.60479, , id=0x0001, 0x00000001 0x00000007
153,678.09453, , id=0x0001, 0x00000001 0x00000007
154,678.58427, , id=0x0001, 0x00000001 0x00000007
155,679.074026, , id=0x0001, 0x00000001 0x00000007
156,679.563242, , id=0x0001, 0x00000001 0x0000000C
157,680.11155, , id=0x0001, 0x00000001 0x00000007
158,680.60129, , id=0x0001, 0x00000001 0x00000007
159,681.091032, , id=0x0001, 0x00000001 0x00000007
160,681.58077, , id=0x0001, 0x00000001 0x00000007
161,682.070408, , id=0x0001, 0x00000001 0x00000007
162,682.618326, , id=0x0001, 0x00000001 0x00000007
163,683.10805, , id=0x0001, 0x00000001 0x00000007
164,683.59779, , id=0x0001, 0x00000001 0x00000007
165,684.08753, , id=0x0001, 0x00000001 0x00000007
166,684.577318, , id=0x0001, 0x00000001 0x00000007
167,685.067002, , id=0x0001, 0x00000001 0x00000007
168,685.61629, , id=0x0001, 0x00000001 0x00000007
169,686.10603, , id=0x0001, 0x00000001 0x00000007
170,686.59577, , id=0x0001, 0x00000001 0x0000000C
171,687.08501, , id=0x0001, 0x00000001 0x0000000C
172,687.574264, , id=0x0001, 0x00000001 0x0000000C
173,688.064482, , id=0x0001, 0x00000001 0x0000000C
174,688.61327, , id=0x0001, 0x00000001 0x0000000C
175,689.10351, , id=0x0001, 0x00000001 0x0000000C
176,689.59375, , id=0x0001, 0x00000001 0x0000000C
177,690.08399, , id=0x0001, 0x00000001 0x0000000C
178,690.574782, , id=0x0001, 0x00000001 0x0000000C
179,691.064962, , id=0x0001, 0x00000001 0x0000000C
180,691.61375, , id=0x0001, 0x00000001 0x0000000C
181,692.10399, , id=0x0001, 0x00000001 0x0000000C
182,692.59473, , id=0x0001, 0x00000001 0x0000000C
183,693.08497, , id=0x0001, 0x00000001 0x0000000C
184,693.575236, , id=0x0001, 0x00000001 0x0000000C
185,694.065442, , id=0x0001, 0x00000001 0x0000000C
186,694.61373, , id=0x0001, 0x00000001 0x0000000C
187,695.10397, , id=0x0001, 0x00000001 0x0000000C
188,695.59471, , id=0x0001, 0x00000001 0x0000000C
189,696.08495, , id=0x0001, 0x00000001 0x0000000C
190,696.575208, , id=0x0001, 0x00000001 0x0000000C
191,697.065922, , id=0x0001, 0x00000001 0x0000000C
192,697.61473, , id=0x0001, 0x00000001 0x0000000C
193,698.10547, , id=0x0001, 0x00000001 0x0000000C
194,698.59571, , id=0x0001, 0x00000001 0x00000011
195,699.08595, , id=0x0001, 0x00000001 0x00000011
196,699.576216, , id=0x0001, 0x00000001 0x0000000C
197,700.066422, , id=0x0001, 0x00000001 0x0000000C
198,700.61471, , id=0x0001, 0x00000001 0x00000011
199,701.10495, , id=0x0001, 0x00000001 0x00000011
200,701.59569, , id=0x0001, 0x00000001 0x0000000C
201,702.08643, , id=0x0001, 0x00000001 0x0000000C
202,702.576688, , id=0x0001, 0x00000001 0x0000000C
203,703.066902, , id=0x0001, 0x00000001 0x0000000C
204,703.61569, , id=0x0001, 0x00000001 0x0000000C
205,704.10643, , id=0x0001, 0x00000001 0x0000000C
206,704.59667, , id=0x0001, 0x00000001 0x00000011
207,705.08691, , id=0x0001, 0x00000001 0x00000011
208,705.577178, , id=0x0001, 0x00000001 0x00000011
209,706.067382, , id=0x0001, 0x00000001 0x00000011
210,706.61617, , id=0x0001, 0x00000001 0x00000011
211,707.10641, , id=0x0001, 0x00000001 0x00000011
212,707.59665, , id=0x0001, 0x00000001 0x00000011
213,708.08689, , id=0x0001, 0x00000001 0x0000000C
214,708.577158, , id=0x0001, 0x00000001 0x0000000C
215,709.067362, , id=0x0001, 0x00000001 0x0000000C
216,709.61565, , id=0x0001, 0x00000001 0x0000000C
217,710.10589, , id=0x0001, 0x00000001 0x0000000C
218,710.59613, , id=0x0001, 0x00000001 0x0000000C
219,711.08637, , id=0x0001, 0x00000001 0x0000000C
220,711.577142, , id=0x0001, 0x00000001 0x0000000C
221,712.067342, , id=0x0001, 0x00000001 0x0000000C
222,712.61613, , id=0x0001, 0x00000001 0x0000000C
223,713.106872, , id=0x0001, 0x00000001 0x0000000C
224,713.59761, , id=0x0001, 0x00000001 0x00000011
225,714.08835, , id=0x0001, 0x00000001 0x00000011
226,714.579108, , id=0x0001, 0x00000001 0x00000011
227,715.069728, , id=0x0001, 0x00000001 0x00000011
228,715.61863, , id=0x0001, 0x00000001 0x00000011
229,716.10937, , id=0x0001, 0x00000001 0x00000011
230,716.60011, , id=0x0001, 0x00000001 0x00000011
231,717.09085, , id=0x0001, 0x00000001 0x00000011
232,717.58159, , id=0x0001, 0x00000001 0x00000011
233,718.072228, , id=0x0001, 0x00000001 0x00000011
234,718.62111, , id=0x0001, 0x00000001 0x00000011
235,719.11185, , id=0x0001, 0x00000001 0x00000011
236,719.60259, , id=0x0001, 0x00000001 0x00000011
237,720.09333, , id=0x0001, 0x00000001 0x00000011
238,720.58407, , id=0x0001, 0x00000001 0x00000011
239,721.074854, , id=0x0001, 0x00000001 0x00000011
240,721.565538, , id=0x0001, 0x00000001 0x00000011
241,722.11433, , id=0x0001, 0x00000001 0x00000011
242,722.60507, , id=0x0001, 0x00000001 0x00000011
243,723.09581, , id=0x0001, 0x00000001 0x00000011
244,723.58655, , id=0x0001, 0x00000001 0x00000011
245,724.079294, , id=0x0001, 0x00000001 0x00000015
246,724.569928, , id=0x0001, 0x00000001 0x00000011
247,725.12281, , id=0x0001, 0x00000001 0x00000015
248,725.61355, , id=0x0001, 0x00000001 0x00000011
249,726.10429, , id=0x0001, 0x00000001 0x00000011
250,726.59653, , id=0x0001, 0x00000001 0x00000015
251,727.08727, , id=0x0001, 0x00000001 0x00000011
252,727.578038, , id=0x0001, 0x00000001 0x00000011
253,728.068742, , id=0x0001, 0x00000001 0x00000011
254,728.61755, , id=0x0001, 0x00000001 0x00000011
255,729.10829, , id=0x0001, 0x00000001 0x00000011
256,729.60003, , id=0x0001, 0x00000001 0x00000011
257,730.09077, , id=0x0001, 0x00000001 0x00000011
258,730.58251, , id=0x0001, 0x00000001 0x00000011
259,731.073252, , id=0x0001, 0x00000001 0x00000011
260,731.62403, , id=0x0001, 0x00000001 0x00000015
261,732.11477, , id=0x0001, 0x00000001 0x00000011
262,732.60551, , id=0x0001, 0x00000001 0x00000011
263,733.09825, , id=0x0001, 0x00000001 0x00000015
264,733.59049, , id=0x0001, 0x00000001 0x00000015
265,734.08323, , id=0x0001, 0x00000001 0x00000015
266,734.573968, , id=0x0001, 0x00000001 0x00000011
267,735.064726, , id=0x0001, 0x00000001 0x00000011
268,735.61349, , id=0x0001, 0x00000001 0x00000011
269,736.10423, , id=0x0001, 0x00000001 0x00000011
270,736.59499, , id=0x0001, 0x00000001 0x00000011
271,737.08521, , id=0x0001, 0x00000001 0x00000011
272,737.575478, , id=0x0001, 0x00000001 0x00000011
273,738.065682, , id=0x0001, 0x00000001 0x00000011
274,738.61597, , id=0x0001, 0x00000001 0x00000011
275,739.10621, , id=0x0001, 0x00000001 0x00000011
276,739.59645, , id=0x0001, 0x00000001 0x00000011
277,740.08669, , id=0x0001, 0x00000001 0x00000011
278,740.57696, , id=0x0001, 0x00000001 0x00000011
279,741.068662, , id=0x0001, 0x00000001 0x00000015
280,741.61897, , id=0x0001, 0x00000001 0x00000015
281,742.11071, , id=0x0001, 0x00000001 0x00000015
282,742.60245, , id=0x0001, 0x00000001 0x00000015
283,743.09419, , id=0x0001, 0x00000001 0x00000015
284,743.58593, , id=0x0001, 0x00000001 0x00000015
285,744.07821, , id=0x0001, 0x00000001 0x00000015
286,744.570902, , id=0x0001, 0x00000001 0x00000015
287,745.12269, , id=0x0001, 0x00000001 0x00000015
288,745.61443, , id=0x0001, 0x00000001 0x00000015
289,746.10617, , id=0x0001, 0x00000001 0x00000015
290,746.59791, , id=0x0001, 0x00000001 0x00000015
291,747.08965, , id=0x0001, 0x00000001 0x00000015
292,747.58139, , id=0x0001, 0x00000001 0x00000015
293,748.073028, , id=0x0001, 0x00000001 0x00000015
294,748.62541, , id=0x0001, 0x00000001 0x00000015
295,749.11715, , id=0x0001, 0x00000001 0x00000015
296,749.60889, , id=0x0001, 0x00000001 0x00000015
297,750.10063, , id=0x0001, 0x00000001 0x00000015
298,750.59237, , id=0x0001, 0x00000001 0x00000015
299,751.08411, , id=0x0001, 0x00000001 0x00000015
300,751.575868, , id=0x0001, 0x00000001 0x00000015
301,752.067582, , id=0x0001, 0x00000001 0x00000015
302,752.61939, , id=0x0001, 0x00000001 0x00000015
303,753.11113, , id=0x0001, 0x00000001 0x00000015
304,753.60287, , id=0x0001, 0x00000001 0x00000015
305,754.09461, , id=0x0001, 0x00000001 0x00000015
306,754.58635, , id=0x0001, 0x00000001 0x00000015
307,755.078612, , id=0x0001, 0x00000001 0x00000015
308,755.571322, , id=0x0001, 0x00000001 0x00000015
309,756.12361, , id=0x0001, 0x00000001 0x00000015
310,756.61535, , id=0x0001, 0x00000001 0x00000015
311,757.10709, , id=0x0001, 0x00000001 0x00000015
312,757.59883, , id=0x0001, 0x00000001 0x00000015
313,758.09057, , id=0x0001, 0x00000001 0x00000015
314,758.58331, , id=0x0001, 0x00000001 0x00000015
315,759.075072, , id=0x0001, 0x00000001 0x00000015
316,759.567282, , id=0x0001, 0x00000001 0x00000015
317,760.11907, , id=0x0001, 0x00000001 0x00000015
318,760.61081, , id=0x0001, 0x00000001 0x00000015
319,761.10255, , id=0x0001, 0x00000001 0x00000015
320,761.59379, , id=0x0001, 0x00000001 0x00000015
321,762.08503, , id=0x0001, 0x00000001 0x00000015
322,762.576298, , id=0x0001, 0x00000001 0x00000015
323,763.067502, , id=0x0001, 0x00000001 0x00000015
324,763.61931, , id=0x0001, 0x00000001 0x00000015
325,764.10905, , id=0x0001, 0x00000001 0x0000001A
326,764.59879, , id=0x0001, 0x00000001 0x0000001A
327,765.08853, , id=0x0001, 0x00000001 0x0000001A
328,765.57831, , id=0x0001, 0x00000001 0x0000001A
329,766.068002, , id=0x0001, 0x00000001 0x0000001A
330,766.61979, , id=0x0001, 0x00000001 0x00000015
331,767.109534, , id=0x0001, 0x00000001 0x0000001A
332,767.59927, , id=0x0001, 0x00000001 0x0000001A
333,768.08901, , id=0x0001, 0x00000001 0x0000001A
334,768.57878, , id=0x0001, 0x00000001 0x0000001A
335,769.068482, , id=0x0001, 0x00000001 0x0000001A
336,769.61627, , id=0x0001, 0x00000001 0x0000001A
337,770.10601, , id=0x0001, 0x00000001 0x0000001A
