Event, Time (sec), Component, Event Property, Value
101, 652.06973800, , id=0x0001, 0x00000000 0x000186A0
102, 652.56972600, , id=0x0001, 0x00000000 0x00018A88
103, 653.06973800, , id=0x0001, 0x00000000 0x00018E70
104, 653.56973400, , id=0x0001, 0x00000000 0x00019258
105, 654.06972600, , id=0x0001, 0x00000000 0x00019640
106, 654.56973800, , id=0x0001, 0x00000000 0x00019A28
107, 655.06972600, , id=0x0001, 0x00000000 0x00019E10
108, 655.56972600, , id=0x0001, 0x00000000 0x0001A1F8
109, 656.06972600, , id=0x0001, 0x00000000 0x0001A5E0
110, 656.56973800, , id=0x0001, 0x00000000 0x0001A9C8
111, 657.06973800, , id=0x0001, 0x00000000 0x0001ADB0
112, 657.56973800, , id=0x0001, 0x00000000 0x0001B198
113, 658.06973800, , id=0x0001, 0x00000000 0x0001B580
114, 658.56973800, , id=0x0001, 0x00000000 0x0001B968
115, 659.06973800, , id=0x0001, 0x00000000 0x0001BD50
116, 659.56972600, , id=0x0001, 0x00000000 0x0001C138
117, 660.06973800, , id=0x0001, 0x00000000 0x0001C520
118, 660.56973800, , id=0x0001, 0x00000000 0x0001C908
119, 661.06973800, , id=0x0001, 0x00000000 0x0001CCF0
120, 661.56973000, , id=0x0001, 0x00000000 0x0001D0D8
121, 662.06973800, , id=0x0001, 0x00000000 0x0001D4C0
122, 662.56973800, , id=0x0001, 0x00000000 0x0001D8A8
123, 663.06973800, , id=0x0001, 0x00000000 0x0001DC90
124, 663.56972600, , id=0x0001, 0x00000000 0x0001E078
125, 664.06973800, , id=0x0001, 0x00000000 0x0001E460
126, 664.56973800, , id=0x0001, 0x00000000 0x0001E848
127, 665.06972600, , id=0x0001, 0x00000000 0x0001EC30
128, 665.56972600, , id=0x0001, 0x00000000 0x0001F018
129, 666.06972600, , id=0x0001, 0x00000000 0x0001F400
130, 666.56972600, , id=0x0001, 0x00000000 0x0001F7E8
131, 667.06972600, , id=0x0001, 0x00000000 0x0001FBD0
132, 667.56972600, , id=0x0001, 0x00000000 0x0001FFB8
133, 668.06972600, , id=0x0001, 0x00000000 0x000203A0
134, 668.56973800, , id=0x0001, 0x00000000 0x00020788
135, 669.06973800, , id=0x0001, 0x00000000 0x00020B70
136, 669.56973800, , id=0x0001, 0x00000000 0x00020F58
137, 670.06973800, , id=0x0001, 0x00000000 0x00021340
138, 670.56973800, , id=0x0001, 0x00000000 0x00021728
139, 671.06973800, , id=0x0001, 0x00000000 0x00021B10
140, 671.56973800, , id=0x0001, 0x00000000 0x00021EF8
141, 672.06973800, , id=0x0001, 0x00000000 0x000222E0
142, 672.56973800, , id=0x0001, 0x00000000 0x000226C8
143, 673.06973800, , id=0x0001, 0x00000000 0x00022AB0
